Survey location,Neighborhood,Date ,Age,Gender ,Profession,Languages familiar with,Do you own a mobile phone? A smart phone?,How often do you use the mobile phone for finding information (besides communication)? ,How easy do you find the use of smart phone as compared to face-to-face information?,Do you trust mobile phone information as much as interpersonal communication? ,Do you know about the Air Quality Index (AQI)? ,What is the extent of air pollution in this locality (especially during the Winter)?,How do you handle air pollution? ,"
Usability of the App ",Has the app helped you to improve your understanding of the AQI?,Has the app helped you in providing suggestions to handle air pollution in your locality? ,What features of the SAQI App did you find most useful in understanding the AQI and air pollution levels in your area?,Were there any features of the SAQI App that you found difficult to understand or use?,Would you recommend the SAQI App to your family and friends? ,"Since the different social groups and people in the locality are facing similar pollution related issues, do you feel more connected with the other people in the community? ",Do you plan to get together and take any community/locality specific action after getting to know about the state of the locality w.r.t air pollution? ,"If yes, what action do they plan to take?","
Any suggestions on improving the App? "
Okhla,Shaheen Bagh,4/30/2023,26,Female,Student,English,Yes,Very often,Easy,Maybe,Yes,high,wear a mask,1,1,1,,,Yes,Yes,Yes,,
Okhla,Tekhand,4/30/2023,30,Male,Social Worker,Hindi,Yes,Often,Neutral,Maybe,Yes,Very high,wear a mask,2,1,1,Air quality level ,No,Yes,Yes,Maybe,That will happen to me ,No
Okhla,Tekhand,4/30/2023,25,Male,Teacher,Hindi,Yes,Every now and then,Very Easy,Maybe,Yes,high,wear a mask,1,1,1,"All the features were good , very user friendly ",No its easy to use ,Yes,Yes,Maybe,,
Najafgarh,Nangli Sakrawati,4/30/2023,18,Male,Local Shopkeeper and Vendor,Hindi,Yes,Very often,Easy,Maybe,No,high,wear a mask,2,2,1,,,Yes,Yes,,,
Najafgarh,Nangli Sakrawati,4/30/2023,22,Male,Local Shopkeeper and Vendor,English,Yes,Very often,Easy,Yes,Yes,high,wear a mask,2,1,2,Voice narration of the app is very useful,"No , SAQI is very easy to use",Yes,Yes,Yes,Steps to control air pollution by not burning the waste out side our shops and locality ,App is good ...nothing much required to improve upon 
Okhla,Tekhand,5/1/2023,21,Male,Local Shopkeeper and Vendor,English,Yes,Often,Easy,Yes,Yes,Very high,wear a mask,1,1,1,,,Yes,Yes,Maybe,,
Najafgarh,Jharoda Kalan,5/1/2023,26,Male,Local Shopkeeper and Vendor,Hindi,Yes,Not much at all,Easy,Maybe,No,low,wear a mask,1,1,1,,,Yes,Yes,Yes,,
Najafgarh,Nangli Sakrawati,5/1/2023,28,Male,Local Shopkeeper and Vendor,English,Yes,Very often,Easy,No,Yes,low,There are many factors that led to Air pollution but currently we need to tackle with the problem of harmful gases released by industries. This could be reduced through govt. Intervention like by making policies or allocation zones that are only meant for Industrial development.,2,2,2,I guess prediction ,Not at all,Yes,Yes,Maybe,Will create a group of 2-2 members and allocate a small area of our locality to make sure garbage free society and slowly we will spread this initiative to others society also,
Okhla,Tekhand,5/1/2023,35,Male,Local Shopkeeper and Vendor,Hindi,Yes,Often,Easy,No,No,not sure,wear a mask,1,1,1,,,Yes,Yes,Yes,Hume aapne surrounding ki saaf saafai pr jyda dhyan dena chaiye...aapne ko garbage free rhkna chaiye,
Okhla,Sanjay Colony,5/1/2023,35,Male,Local Shopkeeper and Vendor,Hindi,Yes,Every now and then,Not Easy,Maybe,Yes,high,wear a mask,2,2,3,Istemal krna bahut asan hai isko,Nhi,Yes,Yes,Yes,"Pardushan nhi failayenge, kachra nhi jalayengey ",Nhi sab thik hai 
Okhla,Shaheen Bagh,5/28/2002,20,Male,Student,English,Yes,Very often,Very Easy,Yes,Yes,Very high,wear a mask,2,3,3,,,Yes,No,Yes,,Interface mostly 
Okhla,Sanjay Colony,5/1/2023,53,Female,Teacher,English,Yes,Very often,Very Easy,Maybe,Yes,Very high,wear a mask,2,2,3,Aqi index,NA,Yes,Maybe,Maybe,,Nothing as such
Okhla,Shaheen Bagh,5/1/2023,21,Male,Local Shopkeeper and Vendor,English,Yes,Often,Easy,Yes,Yes,moderate,wear a mask,1,1,1,,,Yes,Yes,Yes,,
Okhla,Sanjay Colony,5/1/2023,21,Male,Local Shopkeeper and Vendor,English,Yes,Often,Easy,Yes,Yes,moderate,wear a mask,1,1,1,,,Yes,Yes,Yes,,
Okhla,Sanjay Colony,5/1/2023,57,Female,Teacher,Hindi,Yes,Often,Neutral,Yes,Maybe,not sure,,5,5,4,,not sure,No,Yes,Maybe,,
Okhla,Sanjay Colony,5/1/2023,19,Female,Teacher,Hindi,Yes,Not much at all,Very Easy,No,No,moderate,wear a mask,2,2,2,Not at all ,Yes,Yes,Yes,Yes,Aware people to reduce the use of vehicles ,Yes 
Okhla,Sanjay Colony,4/29/2023,35,Female,Mother of young Kids,Hindi,Yes,Every now and then,Neutral,Maybe,Yes,Very high,wear a mask,3,3,3,Audio but it can be improved also make little cartoonist,It is very wordy,Maybe,Yes,Yes,We will make a group ,audio and colorfull
Okhla,Sanjay Colony,5/2/2023,34,Female,Teacher,English,Yes,Often,Easy,No,Yes,Very high,wear a mask,4,4,3,PM2.5,No,Yes,Yes,Maybe,,No
Okhla,Sanjay Colony,5/2/2023,21,Female,Teacher,English,Yes,Often,Easy,No,Yes,high,wear a mask,4,3,4,PM 2.5,No,Yes,No,Maybe,,No
Okhla,Sanjay Colony,5/2/2023,39,Female,Teacher,English,Yes,Often,Neutral,Yes,Yes,moderate,use an air purifier,2,3,3,It helps to improve the quality of the air.live easily and less disease. ,While travelling .and moving towards one place to another.,Yes,Yes,Yes,Ask our students that do not burn cracker and do not burn wood and plastic  so that air quality do not spoil..,Give More awareness to the community people 
Okhla,Sanjay Colony,5/2/2023,25,Female,Teacher,Hindi,Yes,Very often,Very Easy,Maybe,Yes,Very high,wear a mask,2,2,2,To aware people to wear mask ,Yes,Yes,Yes,Yes,Aware people ,No
Okhla,Sanjay Colony,5/2/2023,27,Female,Teacher,English,Yes,Very often,Very Easy,Maybe,Yes,high,wear a mask,2,3,3,Pm 2.5No,No,Maybe,Yes,No,Awarness,No
Okhla,Sanjay Colony,5/2/2023,44,Female,Teacher,English,Yes,Often,Easy,No,Yes,high,wear a mask,3,4,3,PM2.5,No,Yes,Yes,No,,No
Okhla,Sanjay Colony,5/2/2023,28,Female,Mother of young Kids,Hindi,No,Not often,Not Easy,Maybe,No,Very high,wear a mask,3,3,3,Audio,,Yes,Yes,Yes,Awarness,make more interesting 
Okhla,Shaheen Bagh,5/1/2023,24,Male,Student,"Hindi, English, Urdu",Yes,Very often,Very Easy,Yes,Yes,Very high,"wear a mask, work from home, use an air purifier",3,3,2,Nothing,No,Maybe,Yes,Yes,,Need to be visually appealing
Okhla,Tekhand,5/2/2023,29,Female,Mother of young Kids,"Hindi, English",Yes,Every now and then,Neutral,Yes,No,high,Nothing,2,2,4,Audio,Nothing,Yes,Yes,No,,"Thodi boring hai, improve kro kuch"
Okhla,Tekhand,5/2/2023,31,Female,Mother of young Kids,Hindi,Yes,Often,Very Easy,Yes,No,high,wear a mask,1,1,2,,No,Yes,Yes,Yes,"Make a group, protest and awarness","Yes, audio is robotic and data is not updated"
Okhla,Sanjay Colony,5/2/2023,27,Female,Mother of young Kids,Hindi,Yes,Often,Easy,Yes,No,high,wear a mask,2,2,1,,NO,Yes,Yes,Yes,Awareness among fellow mothers ,"Yes, it should include more information. "
Okhla,Sanjay Colony,5/2/2023,30,Female,Mother of young Kids,Hindi,Yes,Often,Very Easy,Maybe,No,Very high,wear a mask,1,1,2,,No,Yes,Yes,Yes,spread information among neighborhood and go to MLA.,"Yes, you should add some visual icons"
Okhla,Shaheen Bagh,5/2/2023,23,Female,Student,English,Yes,Very often,Very Easy,Yes,Yes,high,"wear a mask, work from home, use an air purifier",1,1,1,,No,Yes,Yes,Maybe,,"Improve it's information representation, there are so many texts it is like reading book."
Okhla,Tekhand,5/2/2023,35,Male,Local Shopkeeper and Vendor,Hindi,Yes,Very often,Very Easy,Yes,Yes,Very high,wear a mask,3,2,2,,No,Yes,Yes,Yes,file a complain. ,"Yes, more data and information. "
Okhla,Tekhand,5/2/2023,26,Female,Student,"Hindi, English",Yes,Very often,Very Easy,Yes,Yes,high,"wear a mask, work from home, use an air purifier",1,2,2,All features need some improvisation ,No,Yes,Yes,Maybe,,Give Information if there any helpline or where we can go and discuss regarding our areas air pollution issues
Najafgarh,Nangli Sakrawati,5/2/2023,33,Female,Teacher,"Hindi, English",Yes,Very often,Very Easy,Yes,Yes,Very high,"wear a mask, work from home, use an air purifier",1,2,3,,No,Yes,Yes,Yes,spread awareness with students. ,it should be more engaging. 
Najafgarh,Nangli Sakrawati,5/1/2023,,Male,Teacher,"Hindi, English",Yes,Very often,Easy,Yes,Yes,Very high,wear a mask,1,3,3,,No,Yes,Yes,Maybe,,Need over all upgradation
Okhla,Shaheen Bagh,5/1/2023,53,Female,Social Workers,English,Yes,Very often,Very Easy,Maybe,Yes,Very high,wear a mask,2,2,3,Aqi index,NA,Yes,Maybe,Maybe,,More information and updated data
